 #  SCIATRAN 2.2 (DOM, spherical mode)
 #  Height resolved air mass factors for no2
 #  Spectral range:  440.000 -  440.000
 #  The number of spectral points:    1
 #  The number of altitude levels:  44
    10.000     9.800     9.600     9.400     9.200     9.000     8.800     8.600     8.400     8.200     8.000     7.800     7.600     7.400     7.200     7.000     6.800     6.600     6.400     6.200     6.000     5.800     5.600     5.400     5.200     5.000     4.800     4.600     4.400     4.200     4.000     3.800     3.600     3.400     3.200     3.000     2.800     2.600     2.400     2.200     2.000     1.800     1.600     1.400
 
  440.0000000   0.11051636399514D+01   0.11564880994360D+01   0.12225836511483D+01   0.13071435484755D+01   0.14155036942400D+01   0.15554476455528D+01   0.17386211507404D+01   0.19875278833989D+01
 
  440.0000000   0.11119353468290D+01   0.11635588036753D+01   0.12300040053304D+01   0.13149545177390D+01   0.14237405281164D+01   0.15641406198787D+01   0.17477962752517D+01   0.19972052751291D+01
 
  440.0000000   0.11251359685470D+01   0.11773371466624D+01   0.12444573421531D+01   0.13301604121488D+01   0.14397647521638D+01   0.15810384496025D+01   0.17656135168717D+01   0.20159727856341D+01
 
  440.0000000   0.11377627400445D+01   0.11905070101176D+01   0.12582606192063D+01   0.13446670119688D+01   0.14550320935219D+01   0.15971124333996D+01   0.17825288684809D+01   0.20337434312169D+01
 
  440.0000000   0.11500165585505D+01   0.12032799085164D+01   0.12716379655339D+01   0.13587129854877D+01   0.14697977216866D+01   0.16126363386091D+01   0.17988370976404D+01   0.20508362198353D+01
 
  440.0000000   0.11620571143108D+01   0.12158239323726D+01   0.12847674483263D+01   0.13724878794686D+01   0.14842641898677D+01   0.16278273565570D+01   0.18147719093049D+01   0.20675038700902D+01
 
  440.0000000   0.11740115174586D+01   0.12282728606061D+01   0.12977907673911D+01   0.13861424971153D+01   0.14985926053832D+01   0.16428581872152D+01   0.18305190899070D+01   0.20839472274801D+01
 
  440.0000000   0.11859833384972D+01   0.12407356607825D+01   0.13108232979949D+01   0.13997995616932D+01   0.15129139901053D+01   0.16578691719794D+01   0.18462294906113D+01   0.21003291973090D+01
 
  440.0000000   0.11980605664966D+01   0.12533048452859D+01   0.13239629157950D+01   0.14135630749493D+01   0.15273392340650D+01   0.16729789026190D+01   0.18620303526663D+01   0.21167868593849D+01
 
  440.0000000   0.12103212766069D+01   0.12660624575770D+01   0.13372963661710D+01   0.14275251352460D+01   0.15419664338740D+01   0.16882921623592D+01   0.18780339534639D+01   0.21334409667741D+01
 
